"lnm_rate","treated","state","year"
-7.60828399658203,0,"Louisiana",1942
-7.55552673339844,0,"Louisiana",1943
-10.4794855117798,1,"Maine",1925
-7.3619384765625,0,"Maine",1925
-10.5297565460205,1,"Maine",1926
-7.24634170532227,0,"Maine",1926
-9.99449634552002,1,"Maine",1927
-7.28274869918823,0,"Maine",1927
-10.7485237121582,1,"Maine",1928
-7.41003656387329,0,"Maine",1928
-11.1875505447388,1,"Maine",1929
-7.41165971755981,0,"Maine",1929
-10.9500827789307,1,"Maine",1930
-7.47324848175049,0,"Maine",1930
-10.8227844238281,1,"Maine",1931
-7.62156343460083,0,"Maine",1931
-10.7683534622192,1,"Maine",1932
-7.64832305908203,0,"Maine",1932
-10.9686651229858,1,"Maine",1933
-7.70236015319824,0,"Maine",1933
-11.416615486145,1,"Maine",1934
-7.90341329574585,0,"Maine",1934
-11.3173360824585,1,"Maine",1935
-7.9194769859314,0,"Maine",1935
-11.6800546646118,1,"Maine",1936
-7.799964427948,0,"Maine",1936
-12.0225343704224,1,"Maine",1937
-7.97249031066895,0,"Maine",1937
-8.07342338562012,0,"Maine",1938
-12.5452680587769,1,"Maine",1939
-8.00552558898926,0,"Maine",1939
-11.8580226898193,1,"Maine",1940
-8.11639213562012,0,"Maine",1940
-13.6575994491577,1,"Maine",1941
-8.12026500701904,0,"Maine",1941
-11.8735971450806,1,"Maine",1942
-8.11239719390869,0,"Maine",1942
-12.2867593765259,1,"Maine",1943
-8.05628299713135,0,"Maine",1943
-11.4750890731812,1,"Maryland",1925
-6.70599508285522,0,"Maryland",1925
-11.2148914337158,1,"Maryland",1926
-6.76387214660645,0,"Maryland",1926
-11.3806419372559,1,"Maryland",1927
-6.87836599349976,0,"Maryland",1927
-11.7975730895996,1,"Maryland",1928
-6.84233331680298,0,"Maryland",1928
-10.7384691238403,1,"Maryland",1929
-6.86548376083374,0,"Maryland",1929
-10.7215070724487,1,"Maryland",1930
-6.9142279624939,0,"Maryland",1930
-10.8825998306274,1,"Maryland",1931
-6.94951057434082,0,"Maryland",1931
-10.8622808456421,1,"Maryland",1932
-7.01080417633057,0,"Maryland",1932
-10.6757545471191,1,"Maryland",1933
-7.11675024032593,0,"Maryland",1933
-11.0923938751221,1,"Maryland",1934
-7.15680408477783,0,"Maryland",1934
-10.9942445755005,1,"Maryland",1935
-7.14409685134888,0,"Maryland",1935
-11.88756275177,1,"Maryland",1936
-7.10984086990356,0,"Maryland",1936
-11.7442235946655,1,"Maryland",1937
-7.13548803329468,0,"Maryland",1937
-12.1967515945435,1,"Maryland",1938
-7.20783185958862,0,"Maryland",1938
-12.7951211929321,1,"Maryland",1939
-7.24138641357422,0,"Maryland",1939
-12.2178058624268,1,"Maryland",1940
-7.14193773269653,0,"Maryland",1940
-13.3446636199951,1,"Maryland",1941
-7.26855134963989,0,"Maryland",1941
-13.3721323013306,1,"Maryland",1942
-7.29219961166382,0,"Maryland",1942
-13.3988676071167,1,"Maryland",1943
-7.34521102905273,0,"Maryland",1943
-10.460880279541,1,"Massachusetts",1925
-7.07095336914062,0,"Massachusetts",1925
-10.3959159851074,1,"Massachusetts",1926
-7.06285429000854,0,"Massachusetts",1926
-10.2571601867676,1,"Massachusetts",1927
-7.16236257553101,0,"Massachusetts",1927
-10.7216768264771,1,"Massachusetts",1928
-7.20140886306763,0,"Massachusetts",1928
-10.9762802124023,1,"Massachusetts",1929
-7.27258062362671,0,"Massachusetts",1929
-10.6773710250854,1,"Massachusetts",1930
-7.35211515426636,0,"Massachusetts",1930
-10.6004772186279,1,"Massachusetts",1931
-7.42046022415161,0,"Massachusetts",1931
-10.2548570632935,1,"Massachusetts",1932
-7.52526235580444,0,"Massachusetts",1932
-10.5665845870972,1,"Massachusetts",1933
-7.53645086288452,0,"Massachusetts",1933
-10.9248304367065,1,"Massachusetts",1934
-7.61514043807983,0,"Massachusetts",1934
-11.1430692672729,1,"Massachusetts",1935
-7.65836095809937,0,"Massachusetts",1935
-11.3799486160278,1,"Massachusetts",1936
-7.70184135437012,0,"Massachusetts",1936
-11.559760093689,1,"Massachusetts",1937
-7.71952104568481,0,"Massachusetts",1937
-11.9790554046631,1,"Massachusetts",1938
-7.8312292098999,0,"Massachusetts",1938
-12.4432373046875,1,"Massachusetts",1939
-7.86852645874023,0,"Massachusetts",1939
-12.2334842681885,1,"Massachusetts",1940
-7.88535928726196,0,"Massachusetts",1940
-12.801721572876,1,"Massachusetts",1941
-7.88295841217041,0,"Massachusetts",1941
-12.6561193466187,1,"Massachusetts",1942
-7.89945507049561,0,"Massachusetts",1942
-12.3079204559326,1,"Massachusetts",1943
-7.79816007614136,0,"Massachusetts",1943
-9.88841342926025,1,"Michigan",1925
-7.30931949615479,0,"Michigan",1925
-9.79784393310547,1,"Michigan",1926
-7.26702499389648,0,"Michigan",1926
-10.1526107788086,1,"Michigan",1927
-7.32715845108032,0,"Michigan",1927
