id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
1963,0,8.911314011,19,361,12,0,0,1,0,0,0,54.5
1964,0,13.51930141,22,484,12,0,0,1,0,0,0,48.5
1979,0,12.45299053,22,484,12,0,1,0,1,0,0,60.75
1987,0,7.140475273,19,361,12,0,1,0,1,0,0,50
1988,0,9.520633698,20,400,12,0,1,0,1,0,0,41.75
2000,0,13.32888412,19,361,12,0,0,0,1,0,0,49.5
2011,0,6.664442062,20,400,12,0,1,0,1,0,0,54
2012,0,7.140475273,19,361,12,0,1,0,1,0,0,48.75
2013,0,7.997331142,20,400,12,0,1,0,1,0,0,61.5
2014,0,19.0412674,19,361,12,0,1,0,1,0,0,55.5
2028,0,8.797063828,19,361,11,0,1,0,1,0,0,56.25
2034,0,7.806919098,19,361,10,0,1,0,1,0,0,54.5
2050,0,6.474030972,20,400,12,0,1,0,1,0,0,46
2055,0,11.80558491,21,441,12,0,0,0,1,0,0,61.25
2073,0,11.48188114,20,400,12,0,0,0,1,0,0,60
2075,0,3.427428007,22,484,12,0,0,0,1,0,0,59.25
2076,0,7.330886841,23,529,12,0,0,0,1,0,0,50.25
2079,0,3.332221031,21,441,12,0,0,0,1,0,0,47.75
2083,0,6.950063705,22,484,16,0,1,0,0,0,1,63.25
2084,0,6.664442062,22,484,14,0,0,0,1,0,0,62.75
2086,0,6.816774845,21,441,12,0,0,0,1,0,0,50
2087,0,8.568570137,19,361,12,0,0,0,1,0,0,51.75
2093,0,12.56723785,22,484,12,0,0,0,1,0,0,56.5
2094,0,11.3295517,21,441,10,0,0,0,1,0,0,32.75
2097,0,13.32888412,20,400,12,0,0,0,1,0,0,48.25
2100,0,9.520633698,22,484,12,0,0,0,1,0,0,62.25
2101,0,16.4706974,20,400,12,0,1,0,1,0,0,60.75
2103,0,7.902123928,23,529,13,0,0,0,1,0,0,49
2105,0,8.282950401,21,441,10,0,0,0,1,0,0,47.5
2106,0,11.06297588,21,441,12,0,0,0,1,0,0,52.75
2115,0,7.768836498,21,441,12,0,0,0,0,0,1,39.25
2129,0,6.569237232,19,361,12,0,0,0,0,0,1,48
2133,0,5.141141891,18,324,12,0,0,0,0,0,1,53.25
2135,0,6.664442062,17,289,8,0,0,0,0,0,1,37.5
2144,0,7.140475273,20,400,13,0,0,0,0,0,1,61.75
2145,0,10.81544113,22,484,12,0,0,0,0,0,1,53.75
2146,0,6.283617973,20,400,12,0,0,0,0,0,1,53.25
2152,0,7.178557873,20,400,12,0,0,0,0,0,1,52.5
2154,0,6.397864342,20,400,13,0,0,0,0,0,1,60.75
2157,0,6.340742588,22,484,12,0,0,0,0,0,1,47.5
2163,0,21.42142487,21,441,12,0,0,0,0,0,1,46.25
2169,0,10.47269821,18,324,12,1,0,0,0,0,1,54
2173,0,7.083350658,19,361,12,0,0,0,0,0,1,52.75
2176,0,5.902792454,18,324,12,0,0,0,0,0,1,49.5
2182,0,7.616507053,18,324,12,0,0,0,0,0,1,57.5
2183,0,7.616507053,20,400,14,0,0,0,0,0,1,50.5
2191,0,10.24420071,22,484,12,0,0,0,0,0,1,51.5
2195,0,8.492403984,22,484,8,0,0,0,0,0,1,42.5
2196,0,9.311177254,22,484,12,0,0,0,0,0,1,51.25
2198,0,6.664442062,21,441,12,0,0,0,0,0,1,50.5
2199,0,6.683485508,20,400,12,0,0,0,0,0,1,57.25
2203,0,5.217307091,18,324,11,0,0,0,0,0,1,45
2211,0,12.16737175,19,361,12,1,0,0,0,0,1,40
2215,0,6.854856014,19,361,12,0,0,0,0,0,1,56.5
2216,0,14.85219002,19,361,12,0,0,0,0,0,1,54.5
2226,0,6.931020737,19,361,11,1,0,0,0,0,1,37.75
2227,0,7.845001221,20,400,12,0,0,0,0,0,1,44.75
2228,0,17.30850983,19,361,13,0,0,0,0,0,1,40.5
2241,0,9.520633698,20,400,12,0,0,0,0,0,1,51.5
2264,0,6.569237232,20,400,12,1,0,0,0,0,1,47.75
2270,0,8.454322815,20,400,12,1,0,0,0,0,1,39.75
2285,0,8.149661064,22,484,16,0,0,0,0,0,1,59
2299,0,8.359114647,22,484,16,0,1,0,0,0,1,63
2304,0,10.56790447,22,484,12,0,1,0,0,0,1,52
2312,0,9.520633698,21,441,14,0,1,0,0,0,1,63
2313,0,6.321699142,19,361,12,0,1,0,0,0,1,50.5
2316,0,8.454322815,16,256,9,0,1,0,0,0,1,37.25
2317,0,5.502925396,18,324,8,0,1,0,0,0,1,50.75
2318,0,12.37682533,20,400,9,0,1,0,0,0,1,55.75
2320,0,9.996664047,18,324,9,0,1,0,0,0,1,39.5
2322,0,7.368968964,18,324,12,0,1,0,0,0,1,55
2329,0,6.664442062,21,441,14,0,1,0,0,0,1,57.25
2330,0,5.997998238,17,289,12,0,1,0,0,0,1,53.75
2333,0,7.616507053,23,529,13,0,1,0,0,0,1,52.25
2336,0,9.04460144,23,529,15,0,1,0,0,0,1,61
2343,0,8.13062191,19,361,12,0,1,0,0,0,1,49.25
2346,0,7.27376461,23,529,13,0,1,0,0,0,1,59.75
2351,0,8.568570137,19,361,12,1,1,0,0,0,1,42.25
2354,0,8.321032524,20,400,9,1,1,0,0,0,1,38.75
2355,0,7.121433735,18,324,9,1,1,0,0,0,1,32.75
2361,0,7.921167374,17,289,10,1,1,0,0,0,1,33
2363,0,5.902792454,21,441,9,1,1,0,0,0,1,36
2365,0,7.140475273,17,289,10,0,1,0,0,0,1,46.5
2368,0,7.292803288,22,484,12,0,1,0,0,0,1,46.75
